name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
South Farmer Avenue,0,5590095,0,1,1,81.34,1,40,,residential,6,"LINESTRING (-111.9442875 33.4146337, -111.9442873 33.4145578, -111.9442885 33.4144819, -111.9442932 33.4144534, -111.9443066 33.4144231, -111.9443110 33.4143981, -111.9443115 33.4142442, -111.9443138 33.4139026)",auto,1,0,,
South Farmer Avenue,1,5590095,1,0,1,81.34,1,40,,residential,6,"LINESTRING (-111.9443138 33.4139026, -111.9443115 33.4142442, -111.9443110 33.4143981, -111.9443066 33.4144231, -111.9442932 33.4144534, -111.9442885 33.4144819, -111.9442873 33.4145578, -111.9442875 33.4146337)",auto,1,0,,
South Farmer Avenue,2,5590095,1,2,1,79.93,1,40,,residential,6,"LINESTRING (-111.9443138 33.4139026, -111.9443094 33.4131817)",auto,1,0,,
South Farmer Avenue,3,5590095,2,1,1,79.93,1,40,,residential,6,"LINESTRING (-111.9443094 33.4131817, -111.9443138 33.4139026)",auto,1,0,,
South Farmer Avenue,4,5590095,2,3,1,239.57,1,40,,residential,6,"LINESTRING (-111.9443094 33.4131817, -111.9443088 33.4130312, -111.9443073 33.4118880, -111.9443024 33.4110208)",auto,1,0,,
South Farmer Avenue,5,5590095,3,2,1,239.57,1,40,,residential,6,"LINESTRING (-111.9443024 33.4110208, -111.9443073 33.4118880, -111.9443088 33.4130312, -111.9443094 33.4131817)",auto,1,0,,
South Farmer Avenue,6,5590095,3,4,1,83.91,1,40,,residential,6,"LINESTRING (-111.9443024 33.4110208, -111.9443008 33.4108613, -111.9442992 33.4106384, -111.9442963 33.4102640)",auto,1,0,,
South Farmer Avenue,7,5590095,4,3,1,83.91,1,40,,residential,6,"LINESTRING (-111.9442963 33.4102640, -111.9442992 33.4106384, -111.9443008 33.4108613, -111.9443024 33.4110208)",auto,1,0,,
South Farmer Avenue,8,5590095,4,5,1,82.86,1,40,,residential,6,"LINESTRING (-111.9442963 33.4102640, -111.9442959 33.4098926, -111.9442956 33.4097688, -111.9442959 33.4095166)",auto,1,0,,
South Farmer Avenue,9,5590095,5,4,1,82.86,1,40,,residential,6,"LINESTRING (-111.9442959 33.4095166, -111.9442956 33.4097688, -111.9442959 33.4098926, -111.9442963 33.4102640)",auto,1,0,,
South Farmer Avenue,10,5590095,5,6,1,68.36,1,40,,residential,6,"LINESTRING (-111.9442959 33.4095166, -111.9442946 33.4091443, -111.9442946 33.4090730, -111.9442945 33.4089000)",auto,1,0,,
South Farmer Avenue,11,5590095,6,5,1,68.36,1,40,,residential,6,"LINESTRING (-111.9442945 33.4089000, -111.9442946 33.4090730, -111.9442946 33.4091443, -111.9442959 33.4095166)",auto,1,0,,
East 6th Street,12,5591077,7,8,1,142.69,,,,residential,6,"LINESTRING (-111.9304264 33.4231268, -111.9304120 33.4231839, -111.9304005 33.4232277, -111.9303882 33.4232950, -111.9303108 33.4236887, -111.9302973 33.4237531, -111.9302813 33.4238045, -111.9302430 33.4238667, -111.9302129 33.4238974, -111.9301639 33.4239305, -111.9301123 33.4239534, -111.9296860 33.4241011)",auto,1,0,,
East 6th Street,13,5591077,8,7,1,142.69,,,,residential,6,"LINESTRING (-111.9296860 33.4241011, -111.9301123 33.4239534, -111.9301639 33.4239305, -111.9302129 33.4238974, -111.9302430 33.4238667, -111.9302813 33.4238045, -111.9302973 33.4237531, -111.9303108 33.4236887, -111.9303882 33.4232950, -111.9304005 33.4232277, -111.9304120 33.4231839, -111.9304264 33.4231268)",auto,1,0,,
East 6th Street,14,5591077,8,9,1,60.48,,,,residential,6,"LINESTRING (-111.9296860 33.4241011, -111.9296630 33.4241090, -111.9292198 33.4242567, -111.9290798 33.4242989)",auto,1,0,,
East 6th Street,15,5591077,9,8,1,60.48,,,,residential,6,"LINESTRING (-111.9290798 33.4242989, -111.9292198 33.4242567, -111.9296630 33.4241090, -111.9296860 33.4241011)",auto,1,0,,
West 6th Street,16,5591085,10,11,1,110.44,1,40,,residential,6,"LINESTRING (-111.9412665 33.4243385, -111.9407083 33.4243409, -111.9400786 33.4243437)",auto,1,0,,
West 6th Street,17,5591085,11,10,1,110.44,1,40,,residential,6,"LINESTRING (-111.9400786 33.4243437, -111.9407083 33.4243409, -111.9412665 33.4243385)",auto,1,0,,
East 6th Street,18,5591100,12,13,1,89.94,1,40,,residential,6,"LINESTRING (-111.9376334 33.4243567, -111.9375509 33.4243581, -111.9373581 33.4243583, -111.9367572 33.4243590, -111.9366660 33.4243591)",auto,1,0,,
East 6th Street,19,5591100,13,12,1,89.94,1,40,,residential,6,"LINESTRING (-111.9366660 33.4243591, -111.9367572 33.4243590, -111.9373581 33.4243583, -111.9375509 33.4243581, -111.9376334 33.4243567)",auto,1,0,,
East 6th Street,20,5591100,13,14,1,157.08,1,40,,residential,6,"LINESTRING (-111.9366660 33.4243591, -111.9365605 33.4243597, -111.9362338 33.4243617, -111.9358561 33.4243639, -111.9355078 33.4243660, -111.9353948 33.4243414, -111.9353091 33.4243324, -111.9350964 33.4243366, -111.9349809 33.4243346)",auto,1,0,,
East 6th Street,21,5591100,14,13,1,157.08,1,40,,residential,6,"LINESTRING (-111.9349809 33.4243346, -111.9350964 33.4243366, -111.9353091 33.4243324, -111.9353948 33.4243414, -111.9355078 33.4243660, -111.9358561 33.4243639, -111.9362338 33.4243617, -111.9365605 33.4243597, -111.9366660 33.4243591)",auto,1,0,,
South Maple Avenue,22,5591429,15,16,1,156.15,,,,residential,6,"LINESTRING (-111.9412608 33.4219305, -111.9412432 33.4213251, -111.9412418 33.4212879, -111.9412404 33.4212296, -111.9412399 33.4211998, -111.9412309 33.4205714, -111.9412300 33.4205223)",auto,1,0,,
South Maple Avenue,23,5591429,16,15,1,156.15,,,,residential,6,"LINESTRING (-111.9412300 33.4205223, -111.9412309 33.4205714, -111.9412399 33.4211998, -111.9412404 33.4212296, -111.9412418 33.4212879, -111.9412432 33.4213251, -111.9412608 33.4219305)",auto,1,0,,
East Vista del Cerro Drive,24,5592991,17,18,1,509.34,,40,,residential,6,"LINESTRING (-111.9392261 33.4089000, -111.9391792 33.4091143, -111.9391711 33.4091754, -111.9390931 33.4101435, -111.9390073 33.4102725, -111.9388614 33.4103441, -111.9376168 33.4103728, -111.9364495 33.4103513, -111.9362693 33.4103226, -111.9361406 33.4102295, -111.9360805 33.4100862, -111.9360637 33.4099438, -111.9360118 33.4095058)",auto,1,0,,
East Vista del Cerro Drive,25,5592991,18,17,1,509.34,,40,,residential,6,"LINESTRING (-111.9360118 33.4095058, -111.9360637 33.4099438, -111.9360805 33.4100862, -111.9361406 33.4102295, -111.9362693 33.4103226, -111.9364495 33.4103513, -111.9376168 33.4103728, -111.9388614 33.4103441, -111.9390073 33.4102725, -111.9390931 33.4101435, -111.9391711 33.4091754, -111.9391792 33.4091143, -111.9392261 33.4089000)",auto,1,0,,
East Vista del Cerro Drive,26,5592994,19,20,1,335.98,,,,residential,6,"LINESTRING (-111.9301254 33.4104444, -111.9296969 33.4104461, -111.9265120 33.4104588)",auto,1,0,,
East Vista del Cerro Drive,27,5592994,20,19,1,335.98,,,,residential,6,"LINESTRING (-111.9265120 33.4104588, -111.9296969 33.4104461, -111.9301254 33.4104444)",auto,1,0,,
East Jen Tilly Lane,28,5593228,21,22,1,91.2,,,,residential,6,"LINESTRING (-111.9242329 33.4119115, -111.9237971 33.4119026, -111.9236720 33.4119000, -111.9232523 33.4118914)",auto,1,0,,
East Jen Tilly Lane,29,5593228,22,21,1,91.2,,,,residential,6,"LINESTRING (-111.9232523 33.4118914, -111.9236720 33.4119000, -111.9237971 33.4119026, -111.9242329 33.4119115)",auto,1,0,,
South Ash Avenue,30,5594960,23,24,1,124.54,1,,,residential,6,"LINESTRING (-111.9423400 33.4136148, -111.9423490 33.4142597, -111.9423597 33.4144744, -111.9423738 33.4146487, -111.9423885 33.4146873, -111.9424188 33.4147283)",auto,1,0,,
South Ash Avenue,31,5594960,24,23,1,124.54,1,,,residential,6,"LINESTRING (-111.9424188 33.4147283, -111.9423885 33.4146873, -111.9423738 33.4146487, -111.9423597 33.4144744, -111.9423490 33.4142597, -111.9423400 33.4136148)",auto,1,0,,
South Ash Avenue,32,5594960,24,25,1,162.48,1,,,residential,6,"LINESTRING (-111.9424188 33.4147283, -111.9424388 33.4147724, -111.9424462 33.4148250, -111.9424521 33.4157344, -111.9424522 33.4157881, -111.9424525 33.4159781, -111.9424526 33.4160145, -111.9424528 33.4161632, -111.9424528 33.4161904)",auto,1,0,,
South Ash Avenue,33,5594960,25,24,1,162.48,1,,,residential,6,"LINESTRING (-111.9424528 33.4161904, -111.9424528 33.4161632, -111.9424526 33.4160145, -111.9424525 33.4159781, -111.9424522 33.4157881, -111.9424521 33.4157344, -111.9424462 33.4148250, -111.9424388 33.4147724, -111.9424188 33.4147283)",auto,1,0,,
South Ash Avenue,34,5594960,25,26,1,158.31,1,,,residential,6,"LINESTRING (-111.9424528 33.4161904, -111.9424497 33.4169032, -111.9424492 33.4170136, -111.9424525 33.4176183)",auto,1,0,,
South Ash Avenue,35,5594960,26,25,1,158.31,1,,,residential,6,"LINESTRING (-111.9424525 33.4176183, -111.9424492 33.4170136, -111.9424497 33.4169032, -111.9424528 33.4161904)",auto,1,0,,
South Ash Avenue,36,5594960,26,27,1,160.19,1,,,residential,6,"LINESTRING (-111.9424525 33.4176183, -111.9424524 33.4177004, -111.9424519 33.4183184, -111.9424528 33.4184029, -111.9424582 33.4189409, -111.9424489 33.4189802, -111.9424268 33.4190138, -111.9423945 33.4190482)",auto,1,0,,
South Ash Avenue,37,5594960,27,26,1,160.19,1,,,residential,6,"LINESTRING (-111.9423945 33.4190482, -111.9424268 33.4190138, -111.9424489 33.4189802, -111.9424582 33.4189409, -111.9424528 33.4184029, -111.9424519 33.4183184, -111.9424524 33.4177004, -111.9424525 33.4176183)",auto,1,0,,
South Ash Avenue,38,5594960,27,28,1,154.0,1,,,residential,6,"LINESTRING (-111.9423945 33.4190482, -111.9423684 33.4190899, -111.9423603 33.4191344, -111.9423658 33.4196106, -111.9423680 33.4197262, -111.9423734 33.4204313)",auto,1,0,,
South Ash Avenue,39,5594960,28,27,1,154.0,1,,,residential,6,"LINESTRING (-111.9423734 33.4204313, -111.9423680 33.4197262, -111.9423658 33.4196106, -111.9423603 33.4191344, -111.9423684 33.4190899, -111.9423945 33.4190482)",auto,1,0,,
South Sierra Vista Drive,40,5597447,29,30,1,48.02,,,,residential,6,"LINESTRING (-111.9311446 33.4093331, -111.9311385 33.4089000)",auto,1,0,,
South Sierra Vista Drive,41,5597447,30,29,1,48.02,,,,residential,6,"LINESTRING (-111.9311385 33.4089000, -111.9311446 33.4093331)",auto,1,0,,
West 14th Street,42,5598295,1,31,1,26.61,,,,residential,6,"LINESTRING (-111.9443138 33.4139026, -111.9446000 33.4139035)",auto,1,0,,
West 14th Street,43,5598295,31,1,1,26.61,,,,residential,6,"LINESTRING (-111.9446000 33.4139035, -111.9443138 33.4139026)",auto,1,0,,
East 15th Street,44,5600077,32,33,1,164.64,,,,residential,6,"LINESTRING (-111.9397324 33.4119109, -111.9391432 33.4119218, -111.9379621 33.4119438)",auto,1,0,,
East 15th Street,45,5600077,33,32,1,164.64,,,,residential,6,"LINESTRING (-111.9379621 33.4119438, -111.9391432 33.4119218, -111.9397324 33.4119109)",auto,1,0,,
East 15th Street,46,5600077,33,34,1,129.23,,,,residential,6,"LINESTRING (-111.9379621 33.4119438, -111.9365723 33.4119575)",auto,1,0,,
East 15th Street,47,5600077,34,33,1,129.23,,,,residential,6,"LINESTRING (-111.9365723 33.4119575, -111.9379621 33.4119438)",auto,1,0,,
East 15th Street,48,5600077,34,35,1,152.75,,,,residential,6,"LINESTRING (-111.9365723 33.4119575, -111.9356828 33.4119665, -111.9350331 33.4119767, -111.9349297 33.4119783)",auto,1,0,,
East 15th Street,49,5600077,35,34,1,152.75,,,,residential,6,"LINESTRING (-111.9349297 33.4119783, -111.9350331 33.4119767, -111.9356828 33.4119665, -111.9365723 33.4119575)",auto,1,0,,
East 15th Street,50,5600077,35,36,1,394.72,,,,residential,6,"LINESTRING (-111.9349297 33.4119783, -111.9348272 33.4119800, -111.9341669 33.4119912, -111.9316896 33.4120333, -111.9306853 33.4120477)",auto,1,0,,
