name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,41520578,,,,,,,-111.9442875,33.4146337,,,
,1,41520581,,,,,,,-111.9443138,33.4139026,,,
,2,41520584,,,,,,,-111.9443094,33.4131817,,,
,3,41520587,,,,,,,-111.9443024,33.4110208,,,
,4,41520590,,,,,,,-111.9442963,33.410264,,,
,5,41520593,,,,,,,-111.9442959,33.4095166,,,
,6,,,,,,,,-111.9442945,33.4089,,,boundary node created by osm2gmns
,7,41529691,traffic_signals,,signal,,,,-111.9304264,33.4231268,,,
,8,7121927017,,,,,,,-111.929686,33.4241011,,,
,9,41529697,,,,,,,-111.9290798,33.4242989,,,
,10,3101265641,,,,,,,-111.9412665,33.4243385,,,
,11,41529740,traffic_signals,,signal,,,,-111.9400786,33.4243437,,,
,12,2626664037,,,,,,,-111.9376334,33.4243567,,,
,13,41529813,,,,,,,-111.936666,33.4243591,,,
,14,316007232,traffic_signals,,signal,,,,-111.9349809,33.4243346,,,
,15,41533533,,,,,,,-111.9412608,33.4219305,,,
,16,7265020288,,,,,,,-111.94123,33.4205223,,,
,17,,,,,,,,-111.9392261,33.4089,,,boundary node created by osm2gmns
,18,41546640,,,,,,,-111.9360118,33.4095058,,,
,19,41546647,turning_circle,,,,,,-111.9301254,33.4104444,,,
,20,41546648,,,,,,,-111.926512,33.4104588,,,
,21,5650675608,,,,,,,-111.9242329,33.4119115,,,
,22,41548521,,,,,,,-111.9232523,33.4118914,,,
,23,41563455,,,,,,,-111.94234,33.4136148,,,
,24,41563456,,,,,,,-111.9424188,33.4147283,,,
,25,41563458,,,,,,,-111.9424528,33.4161904,,,
,26,41563460,,,,,,,-111.9424525,33.4176183,,,
,27,41563464,,,,,,,-111.9423945,33.4190482,,,
,28,7265020297,,,,,,,-111.9423734,33.4204313,,,
,29,5341183669,,,,,,,-111.9311446,33.4093331,,,
,30,,,,,,,,-111.9311385,33.4089,,,boundary node created by osm2gmns
,31,,,,,,,,-111.9446,33.4139035,,,boundary node created by osm2gmns
,32,41604294,,,,,,,-111.9397324,33.4119109,,,
,33,41604295,,,,,,,-111.9379621,33.4119438,,,
,34,41604297,,,,,,,-111.9365723,33.4119575,,,
,35,41604298,,,,,,,-111.9349297,33.4119783,,,
,36,41604299,,,,,,,-111.9306853,33.4120477,,,
,37,41606207,,,,,,,-111.9209653,33.4128775,,,
,38,3458373537,,,,,,,-111.920949,33.41231,,,
,39,3458373531,,,,,,,-111.9209422,33.4116865,,,
,40,41606208,,,,,,,-111.9209439,33.4113482,,,
,41,,,,,,,,-111.9446,33.4131833,,,boundary node created by osm2gmns
,42,,,,,,,,-111.9359689,33.4089,,,boundary node created by osm2gmns
,43,41617200,,,,,,,-111.928383,33.4097448,,,
,44,41617201,turning_circle,,,,,,-111.9283745,33.4090473,,,
,45,316870186,traffic_signals,,signal,,,,-111.9395884,33.4159654,,,
,46,316870046,,,,,,,-111.9383,33.4149256,,,
,47,41624258,,,,,,,-111.9373669,33.4146466,,,
,48,4346575408,,,,,,,-111.9370216,33.4146084,,,
,49,2625359017,traffic_signals,,signal,,,,-111.9399641,33.4264662,,,
,50,41630200,traffic_signals,,signal,,,,-111.9400776,33.4264624,,,
,51,41630202,,,,,,,-111.940778,33.4264585,,,
,52,41662590,traffic_signals,,signal,,,,-111.9400803,33.4219289,,,
